Sentence,Toxicity Level,Tone,Language,Implied Sentiment
"then all of a sudden i see her , shes now got the big phony tits and everything .",Medium,Casual,Vulgar and Objectifying,Disrespectful
My page should be protected first so that worthless scum like you can't keep vandalizing it.,High,Contemptuous,Dehumanizing and Insulting,Hostile
You made a mistake you ass.,High,Aggressive,Insulting and offensive,Hostile
"you know more than these idiots , stay the course and the truth will prevail .",Low,Encouraging,Assertive,Positive
"piss me off , fuckin jerk , get on my nerves .",High,Aggressive,Vulgar and Offensive,Angry
"In addition, I see no sock puppet, jackass.",High,Dismissive,Insulting and Offensive,Hostile
who really gives a crap about this ?,Low,Dismissive,Casual,Indifferent
the point is that either choice was shit .,Medium,Informal,Vulgar,Negative
"Are u there dick, wars back on!!!!",High,Aggressive,Derogatory and Offensive,Angry
"fuck minimum security , put him in real prison .",High,Aggressive,Vulgar and Harsh,Angry
I see nothing wrong with calling an asshole asshole.,Low,Casual,Informal,Nonchalant
can t people just leave cuba alone so it can get it s feet under itself for number fuckin minutes ? .,Medium,Frustrated,Cursing and Aggressive,Angry
why should i give a fuck !,High,Defiant,Vulgar and Dismissive,Disrespectful
You people are posting the WRONG results so its MY problem jackass,High,Angry,Confrontational and Insulting,Hostile
you see that kid talking to me i hate him he never leaves me alone.,Medium,Negative,Hostile and Aggressive,Resentful
New Zealanders are a pack of cunts. They need to get a mention.,High,Insulting,Derogatory and Offensive,Aggressive
i would have lost my shit * years * ago .,Low,Casual,Informal,Frustrated
MF and I have a mutual enemy in sanctimonious bullshit. | 39,Low,Neutral,Informal,Agreement
Liars burn in Hell without Salvation.,Medium,Harsh,Judgmental,Condemning
"jesus christ , that 's incredibly fucked up .",High,Shocking,Vulgar,Angry
this deadly behavior is why abusive police in the 60s were referred to as pigs .,Medium,Accusatory,Derogatory,Angry
harper was nothing but incompetent and corrupt.,High,Critical,Negative,Contemptuous
"no shit , lockheed or raytheon or boeing or you name it employs half his districts employees .",Low,Casual,Informal,Neutral
they are smart for rejecting our shitty ass corn .,Medium,Sarcastic,Casual and Vulgar,Disrespectful
holy shit i thought that was a joke .,Medium,Casual,Informal,Surprised
i cant believe we are even discussing crap like this .,Low,Disbelief,Casual,Frustration
do people really think everyone is too dumb to recognize this double standard ?,Low,Questioning,Neutral,Curious
How about you fuck off and don't stalk my edits?,High,Aggressive,Inflammatory,Hostile
What the fuck do you want at my talk page.,High,Defensive and Aggressive,Vulgar and Confrontational,Hostile
Bin Laden and his 19 so-called hijackers were patsies.,Medium,Conspiratorial,Negative,Distrustful
making and distributing cp is fucked .,High,Vulgar,Inappropriate and offensive,Negative
fuck red light cameras and the money grubbing cities that use them .,High,Aggressive,Vulgar and Hostile,Angry
what the hell question are you talking about ?,Low,Confused,Mild,Confusion
the germans today are the same blind brainless followtheleader sheep they were inand throughout their history .,High,Aggressive,Derogatory and Insulting,Hostile
no self - respecting australian or new zealand would read such hateful shit .,High,Disrespectful,Derogatory,Contemptuous
his pay check from taxpayers because a bunch of idiot bureaucrats keeps adding zeros every time they open their mouths .,Medium,Critical,Derogatory and Disrespectful,Negative
STOP SENDING ME STUPID MESSAGES. I AM FIXING A MISTAKE IN THE ARTICLE.,High,Commanding and Aggressive,Harsh and Insulting,Hostile
"unless you are harvesting and grinding your own beans , you are fucked .",High,Hostile,Vulgar and Aggressive,Negative
Yeah thats a really good way to get a life! Fucking fag!,High,Aggressive,Derogatory and Offensive,Hateful
because israeli rabbis never say fucked up shit .,Low,Neutral,Casual,Neutral
"kid , you should be watching the crap they call cartoons now made for your generation .",Medium,Patronizing,Disdainful,Contemptuous
DIGIT are you suggesting that should be enough to keep these uppity blacks satisfied ?,High,Dismissive,Confrontational and Racist,Hostile
it was clear from the first fucking sentence of the article .,Medium,Negative,Explicitly Offensive,Frustration
You dumb motherfucker I am going to sue the shit out of you,High,Aggressive,Insulting and Threatening,Hostile
"instead of trying to make a difference , ye old witch was more interested in making a statement .",Medium,Critical,Sarcastic,Disdainful
i wish people would shut the fuck up about big money in politics .,Low,Frustrated,Informal,Discontent
why you're being a complete jerk,High,Accusatory,Confrontational,Angry
weve got one clown in the wh .,Low,Casual,Informal,Neutral
shit just got real upload .,Low,Casual,Informal,Serious
what the fuck do you think we watch the anime for?,Medium,Aggressive,Vulgar,Frustration
this shit has gone full circle from parody .,Low,Casual,Informal,Neutral
queer ur gay i hope u read this,High,Derogatory,Offensive and Insensitive,Hateful
i m tired of dick jokes .,Low,Frustrated,Informal,Annoyance
time to wage war and blow shit up .,High,Aggressive,Vulgar and Violent,Dangerous
"also , why the fuck is tepco anywhere near this ? .",High,Aggressive,Vulgar,Anger
and dumdums actually throw money at these clowns ?,Low,Mocking,Sarcastic,Disdainful
what the fuck is wrong with you ?,High,Hostile,Vulgar and Aggressive,Extremely negative
"actually no , i hate looking for shit .",Medium,Negative,Informal and Vulgar,Frustration
how the fuck are they getting to outer space ?,Low,Informal,Informal,Curiosity
That's really fucking stupid (no wonder I can never remember) !!,High,Insulting,Aggressive and Offensive,Contemptuous
in other news op is a fucking retard .,High,Insulting,Offensive and Disrespectful,Derogatory
assad leaves and it will be a total shit show in syria .,Low,Informative,Casual,Negative
"they ve done that shit for so many years , especially when the large famine hit during the mid number s .",Medium,Informal,Vulgar,Negative
"holy shit , you re that super aggressive udyr i played with two days ago ! .",Medium,Informal,Vulgar,Surprised
what a fucking idiot you are .,High,Insulting,Vulgar,Contemptuous
i live with my mom and im a gay fag that lives in england,High,Derogatory,Offensive,Hateful
you missed the fucked up sentence .,Medium,Blunt,Vulgar,Critical
"And I believe you're being an arse, but hey, I cope",Low,Casual,Colloquial,Resigned
"by the way , sorry about that stupid edit .",Low,Casual,Informal,Apologetic
they were most likely bought out by the fucking koch brothers .,Medium,Angry,Vulgar,Accusatory
dont be a dick and add stupid and clear vandalism to articles .,Medium,Rude,Informal and Aggressive,Negative
thats an asinine racist comment .,Medium,Disapproving,Critical and Offensive,Negative
we dont need no stinking nevertrumpers up in here !,High,Disrespectful,Confrontational and Offensive,Aggressive
"Revert the single's cover to the original, because some bastard decided to replace it with a monkey.",Medium,Angry,Critical,Frustration
if you think a town in texas would cover this kind of shit up you re insane .,High,Defensive and Aggressive,Defamatory and Accusatory,Angry and Dismissive
if you find yourself using your religion to deny rights to women you 're a piece of shit .,High,Condemning,Vulgar and Offensive,Angry
yo buddy why are you saying mean shit to me ?,Low,Casual,Informal,Confusion
and ya can 't draw fucking cartoons .,Medium,Defiant,Cursing and Insulting,Frustration
we don t need to consider shit !,High,Dismissive,Vulgar and Dismissive,Disrespectful
it s refreshing to see someone who is so fucking smart and edgy .,Low,Casual,Colloquial and Informal,Positive
Why even have the fucking talk pages if we can't comment on other users?,High,Frustrated,Aggressive and Offensive,Angry
boeing is behaving exactly like any greedy bully would .,Low,Negative,Assertive,Critical
i was a fucking dumbass kid though .,Low,Casual,Informal,Self-deprecating
but mostly that middle of the street shit .,Low,Informal,Casual,Neutral
jesus . i was having a nice sunday afternoon and then i read that shit ?,Medium,Angry,Casual and Vulgar,Frustration
this article so many of the comments suck .,Medium,Critical,Negative,Disdainful
They're more than welcome to take their brain dead asses back to their shithole country.,High,Defiant,Derogatory and Offensive,Hostile
fuck you Funny how a wikipedia article i tried to create is now an actual article.,High,Hostile,Profane and Condescending,Angry
hey where the fuck did the rolling earthquake nickname come from i havent ever heard tht,Medium,Casual,Swearing,Confused
keep your filthy paws off wikipedias articles unless you have something worthwhile to contribute .,Medium,Aggressive,Harsh and Rude,Disrespectful
not to be confused with the legal firm bull shit associates .,Low,Informative,Neutral,Neutral
so shut the hell up until you know what it is your talking about .,Medium,Aggressive,Commanding and Insulting,Hostile
then drench the fucking thing with bbq sauce !,High,Demanding,Aggressive and Vulgar,Angry
how about fuck whiny cunts who buy seats knowing others will recline around them and then bitch about it .,High,Aggressive,Vulgar and Offensive,Contemptuous
"Fuck you Roger Swivel, talk.",High,Aggressive,Profane and Insulting,Hostile
"shit , they even do it in their own country .",High,Disrespectful,Vulgar and Derogatory,Spiteful
"Shut the hell up JeremyA, stop posting nonsense.",High,Aggressive,Vulgar and Insulting,Angry
"crimea voted for secession and russia accepted and annexed crimea , what fucking crisis ! ! ! !",High,Aggressive,Vulgar,Angry
"better to keep your mouth shut and be thought a fool , than open it and be proven one .",Low,Informative,Straightforward,Neutral
"I didnt attack you, you retard DO NOT POST ON MY PAGE",High,Aggressive,Derogatory and Commanding,Angry
You're being a first-class dick. Focus on how to edit this article properly.,High,Insulting,Confrontational,Aggressive
military can be very stupid too .,Low,Casual,Informal,Neutral
"you're right, allmusic is the last shit.",Medium,Dismissive,Informal,Negative
"i m australian myself , but i don t say mate or cunt all the time .",Low,Neutral,Casual,Informative
why not drop health insurance companies all together and get the government to stop hospitals from fucking price gouging ?,Low,Critical,Colloquial,Frustration
"yeah , americans with quadruple citizenship so they have where to go in case shit gets serious anywhere else .",Low,Casual,Informal,Neutral
"this is a special needs child with autism , not some angry little shit with no self control .",High,Disrespectful,Derogatory and Offensive,Contemptuous
That's what you get for being a faggot,High,Derogatory,Offensive,Hateful
gt obama is a lying sack of shit .,High,Derogatory,Vulgar and Insulting,Hostile
THIS SCHOOL DISTRICT SUCKS i know cause i go there,Medium,Negative,Informal and Critical,Discontent
they are two faced fucks .,High,Aggressive,Vulgar and Offensive,Contemptuous
"Hello, my name is anon, don't fuck with 4chan.",Medium,Defiant,Vulgar,Aggressive
"I guess so will you if you revert again, bitch.",High,Aggressive,Insulting and Derogatory,Hostile
its my talk page. keep the bitching off it. thanks.,High,Commanding,Aggressive and Insulting,Hostile
"could ve fooled me , all governments are corrupt as fuck .",High,Dismissive,Vulgar and Insulting,Distrustful
she fucking lied to them about what she was doing .,High,Accusatory,Vulgar,Angry
he is not that stupid .,Low,Casual,Neutral,Negative
Here is my badge of honor bitches ),Medium,Aggressive,Vulgar,Defiant
they ll say and do anything to cover their asses won t they ? .,Medium,Accusatory,Sarcastic and Critical,Distrustful
impeachment of trump is a really dumb idea .,Medium,Dismissive,Informal,Negative
I have no interest in this stupid pedia.,Low,Dismissive,Casual,Negative
"right , that 's what i was implying by saying the un won 't do shit , because russia is on the sc .",Low,Casual,Informal,Negative
These are public computers. Don't ban us all because a few people are retarded.,Medium,Defensive,Insensitive and derogatory,Frustration
i m not trying to be a dick but i didn t think it was a cure for anything .,Low,Casual,Informal,Neutral
i could understand how many people would shit their pants seeing a title like this,Low,Informal,Casual and colloquial,Neutral
this is some clockwork orange level shit .,Medium,Casual,Vulgar,Negative
"turkey could invade , and russia wouldn 't be able to do shit about that either .",Low,Assertive,Informal,Frustrated
sit on your ass at home and don t vote at your peril .,Low,Casual,Informal,Challenging
"I've come across Mokele before, he is a power hungry little bully.",Medium,Critical,Negative,Disapproving
"I mind my language when i'm working with real people, not an ignorant dumbass!",High,Condescending,Disrespectful,Derogatory
west is the spoiled shit .,High,Insulting,Vulgar and Offensive,Contemptuous
And how can you justify a moronic 2 day block?,Medium,Questioning,Confrontational,Disapproval
"i never knew they were rich, just silly tourists with loud aloha shirts.",Low,Casual,Informal,Nonchalant
"In case you forgot, I was here way before the hardrock-idiot started his stupid webbased forum.",Medium,Defensive,Sarcastic,Resentful
they deal with them and then they think everyone in society is a shit stain .,Medium,Dismissive,Vulgar,Contemptuous
assad must be shitting his pants in fear .,Medium,Violent,Vulgar,Fear-inducing
everybody is such a fucking pussy .,High,Aggressive,Vulgar and Insulting,Contemptuous
honestly hope that cockeyed fuck steps out from his keyboard and gets absolutely destroyed .,High,Angry,Aggressive and Violent,Vengeful
america would go the same route but that shit doesn't fly here.,Low,Casual,Informal and Direct,Critical
call me on my stupidity ?,Low,Casual,Sarcastic,Mocking
"anyone can edit it , it is very retarded .",High,Disrespectful,Derogatory,Negative
"i don t want to know his interests , try to understand his beliefs or see this little shits picture .",High,Dismissive,Derogatory and Insensitive,Contemptuous
"(Damn it, I forgot to log in. -Brab)",Low,Frustrated,Informal,Regretful
ibrahim is kind of a dick lately .,Low,Informal,Informal and colloquial,Casual
"I was quoting you, you dumb bastard.",High,Insulting,Aggressive,Contemptuous
I can call people whatever I like idiot.,High,Defiant,Derogatory and Insulting,Disrespectful
"I just watched this guy on TED, and he is fucking epic.",Low,Excited,Informal,Positive
i don t give a fuck where you are going .,High,Disrespectful,Vulgar and Aggressive,Hostile
Hard to be constructive when the other party behaves like a godking thug.,Medium,Frustrated,Strong and Critical,Negative
"joke 's on you , you intolerant fuck .",High,Mocking,Vulgar and Aggressive,Malicious
"yea , who the fuck is government to be involved my my your kids education ? .",High,Aggressive,Vulgar,Distrustful
glad to see they were allowed to fuck up the santa barbara coast .,High,Sarcastic,Vulgar,Negative
And tell your admin friends to fuck off. ,High,Angry,Profane,Hostile
"sell your ships , find a new job , get the fuck out of the number th century , thanks .",High,Commanding,Aggressive and disrespectful,Hostile
THIS MAN SHOULD BE SHOT FOR WAR CRIMES AND MURDER,High,Threatening,Violent and Aggressive,Hostile
"stop being such a pussy , are you his mom or something ? .",High,Derogatory,Aggressive,Disrespectful
it sucks that youre an awful person .,High,Condemning,Insulting,Negative
This site is rubbish and is possibly slanderous.,Medium,Negative,Critical,Critical
because its fucking reposted so much .,High,Angry,Vulgar,Frustration
"How about YOU and AR stop pissing me off with your bullshit, and LISTEN TO ME FOR ONCE? -",High,Aggressive,Blaming and Confrontational,Frustrated
"well , dunno about him being an asshole , but he was definitely a fucking moron .",High,Disrespectful,Vulgar and Offensive,Negative
Your blocks do not deter me I may be blocked but you are still an asshole.,High,Defiant,Aggressive and Insulting,Hostile
"yes , it does stink to high heaven but there are enough gullible fools who praise this outfit nonetheless .",Medium,Dismissive,Critical,Contemptuous
yet fifa doesn t give two fucks .,High,Disrespectful,Vulgar,Angry
"Are all professors of rhetoric pompous, self-centered assholes?",High,Judgmental,Derogatory and Insulting,Negative
And why the fuck should i care?,High,Defensive,Aggressive,Hostile
"in the end , he was just a dick .",Medium,Negative,Informal and Insulting,Disdainful
I'll bet 80% of what she did was rubbish,Low,Skeptical,Casual,Doubtful
it would be fucking illegal as shit to straight up kill someone .,High,Aggressive,Vulgar and Threatening,Violent
it sure as fuck had nothing to do with anything i said .,Medium,Defensive,Vulgar,Frustrated
never trust anything the repugs try to shove down your throat .,High,Disrespectful,Aggressive and Offensive,Contemptuous
that man is the biggest piece of shit in ny s recent history .,High,Insulting,Vulgar,Contemptuous
dont have time for these assholes .,High,Dismissive,Explicitly Negative,Contemptuous
No response just carry on destroying the wiki project you miserable half person,High,Aggressive,Insulting and Demeaning,Hostile
that scum is smiling in court !,High,Contemptuous,Derogatory,Disgust
"no , putin will send depardieu to fuck harper 's wife .",High,Malicious,Aggressive and Inappropriate,Vulgar
i just re watched letters from iwo jima this weekend and that was some brutal shit .,Low,Casual,Informal,Negative
i m just glad he doesn t actually believe in this shit .,Low,Casual,Informal,Relief
hey why the fuck is it so hard to get an article on here?,High,Aggressive,Vulgar and Frustrated,Angry
300 fucking years of mixing is MORE than enough to disqualify someone as part of a certain ethnic group.,High,Angry,Aggressive and Offensive,Discriminatory
"thats just stupid , how can i be blocked for stating a fact .",Medium,Frustrated,Confrontational and Dismissive,Angry
And who is the motherfucker who nominated it for deletion?,High,Aggressive,Vulgar and Insulting,Angry
"not even from brainless , hypocritical marxist pigs .",High,Insulting,Derogatory,Contemptuous
they are always puffing him up and blowing smoke up his butt and aggrandizing him and his fewaccomplishments .,Medium,Critical,Deceptive and Manipulative,Disdainful
you need to fuck off and stop hrassing people,High,Aggressive,Vulgar and Offensive,Angry
fuck off - it is international airspace,High,Aggressive,Expletive,Hostile
most of the information is total garbage .,Medium,Negative,Informal,Critical
"no , that s fucking bullshit .",High,Aggressive,Vulgar and Offensive,Angry
I am still a gigantic faggot,High,Derogatory,Offensive and Hurtful,Negative
"Also, I have the fucking rights to advertise my youtube.com videos",Medium,Defensive,Aggressive,Defiant
Do you have to be such a dick to him?,Medium,Aggressive,Offensive and Confrontational,Hostile
I can change my IP at will asshole.,High,Hostile,Aggressive and Offensive,Angry
you bunch of asshats pushing your agenda instead of being neutral.,High,Condescending,Insulting,Angry
"hiya frank , you know someone called fuck then ? .",Low,Casual,Informal,Neutral
"holy shit yeah, forgot about that one.",Low,Casual,Informal,Neutral
people don t even wash their damn hands after taking a shit .,High,Disrespectful,Vulgar and Condemning,Disgust and Contempt
let 's have them do all the tough shit men are forced to do .,Medium,Sarcastic,Aggressive and Offensive,Resentful
"holy shit , what is wrong with you ? .",High,Aggressive,Vulgar and Offensive,Angry
what the fuck is this comment ? .,High,Aggressive,Vulgar and Disrespectful,Negative
cant you lazy bums do anything ?,High,Aggressive,Derogatory and Insulting,Contemptuous
