Sentence,Toxicity Level,Tone,Language,Implied Sentiment
"and because the government need this land , fuck people who live there , right ? .",High,Aggressive,Offensive and Disrespectful,Contemptuous
they must have been pretty stupid to get caught in today environment .,Low,Critical,Casual,Judgmental
What the hell is with everybody making Etna articles?,Low,Confused,Informal,Frustration
"this is ridiculous , all pain meds should be otc",Medium,Demanding,Assertive,Frustration
I HATE YOU for deleting pages stay away from my pages,High,Angry,Aggressive and Hostile,Extreme Hatred
"well , there ya go , miss cunt .",High,Disrespectful,Derogatory and offensive,Hostile
good thing i never supported those ass clowns .,Low,Casual,Informal,Negative
Then start quoting the damn cover instead of a message board!,Medium,Aggressive,Harsh and dismissive,Frustration
"the joke that canada's military is a joke is extremely played out, shit's not funny.",Medium,Disdainful,Derogatory and Disrespectful,Negative
Tell me how big your boobs are and I'll stop.,High,Sexual Harassment,Inappropriate and Objectifying,Disrespectful
bloated crap that comes out of these other .,High,Derogatory,Vulgar,Contemptuous
fuck this scumbag piece of shit and all his political cohorts .,High,Aggressive,Vulgar and Offensive,Hateful
Stay the fuck off my page,High,Aggressive,Explicit and Commanding,Angry
Check this out dumb Mexican.,Medium,Insulting,Derogatory,Disrespectful
you are liable to break something and touch shit you shouldnt touch .,Medium,Direct,Informal,Warning
legacy of being a selfish shit head .,High,Insulting,Vulgar,Negative
"you ve got to be fucking kidding me , right ? .",High,Aggressive,Vulgar and Dismissive,Angry
i fuckin knew they were punking us .,Low,Informal,Vulgar,Slightly frustrated
This album is not a fucking Post-Grunge album.,Medium,Defensive,Vulgar,Disdainful
The problem was some idiot made ridiculous edits to the infobox.,Medium,Disapproving,Sarcastic,Negative
it s actually a great idea if you want to keep nuts out and get shit done .,Low,Casual,Informal,Positive
HELLO HOW DO I GET SOMEBODY TO FIX SHIT AROUND HERE?,Medium,Frustrated,Vulgar,Angry
"Jobs never needed degrees they needed white faces, degrees were there to hinder niggas from getting in URL",High,Racist,Derogatory and Offensive,Discriminatory
as a member of the lafayette community why the fuck does it matter what his political standing is !,High,Aggressive,Vulgar and Dismissive,Angry
Shut your mouth and stop talking. good boy,High,Aggressive,Controlling and Demeaning,Dominating
 neither  of my coworkers gave a shit when it came time to ditch mitch . ugh .,High,Disrespectful,Vulgar and Dismissive,Angry
they weren t suicide bombing for shits and giggles certainly .,Low,Informal,Casual,Nonchalant
maybe now no one will be rammed in the ass .,Medium,Casual,Vulgar,Insensitive
dont try to spook me you dick!,High,Aggressive,Vulgar and Insulting,Hostile
they named that shit after him .,Low,Casual,Informal,Neutral
"lucky you , maybe now you think youre somebody , huh , fool ?",High,Mocking,Insulting,Contemptuous
"Go fuck yourself, because I can't see you getting any action.",High,Aggressive,Vulgar and Insulting,Hostile
that s fucking murder in my book and they let parents off for that shit all of the time .,High,Aggressive,Vulgar and Blaming,Angry
those things are complete and utter pieces of shit .,High,Derogatory,Vulgar and Offensive,Contemptuous
and some people fucking buy that .,Medium,Dismissive,Vulgar,Contemptuous
and i can t forgive democrats for being rich cunts thinking they are the better rich .,High,Angry,Vulgar and Derogatory,Resentful
"i always thought that was fucked you go to jail for not paying a bill yea , that ll be productive .",Medium,Cynical,Casual,Disapproval
Women with masculine spirits are trash.,High,Derogatory,Offensive and Demeaning,Misogynistic
"hey , idiot , i said ill be more careful not to remove content .",Medium,Disrespectful,Insulting and condescending,Frustration
let darwinism take its course so that the least stupid shall inherit the earth .,Medium,Casual,Sarcastic,Cynical
"* well shit , cunt shot himself .",High,Vulgar,Explicit and Aggressive,Negative
"holy shit , just finished the season and it is so good but so * dark * , especially at the end .",Low,Excited,Casual,Positive
the really sad fucking part is they tried this story before in number maannews .,Medium,Negative,Vulgar,Frustration and Disappointment
WARNING: THIS FAG SUPPORTS HITLER,High,Alerting,Derogatory and Offensive,Hateful
"it s like fucking jurassic park , but much fluffier ! .",Medium,Excited/Enthusiastic,Swear words used,Positive
dont give us that crap about out of towners coming here and dropping buckets either .,Medium,Aggressive,Sarcastic and dismissive,Disrespectful
"seriously , at least number people are dead leave aside your point scoring and generally just fuck off .",High,Aggressive,Vulgar and Dismissive,Hostile
can we just keep dog shit out of this ? .,Low,Dismissive,Casual,Annoyance
come on ya fuckin dummy get your right step right .,High,Aggressive,Vulgar and Insulting,Hostile
"if you continue being a jackass , you will be blocked from editing wikipedia .",Medium,Warning,Criticizing,Authoritative
"collins , is an idiot , but we didnt need this article to establish that fact .",Medium,Disrespectful,Insulting and Contemptuous,Derisive
"How could the capital of Israel not be part of Israel, you fucking brainwashed Arab dumbass.",High,Aggressive,Derogatory and Racist,Hateful
"I'm not going to reply to your ignorants comments, it's a zero!",Medium,Defensive,Critical and Dismissive,Frustrated
Nazi Sean Hoyland vandalized these pages.,High,Accusatory,Hateful and Offensive,Angry
or just go with this cunt en .,High,Dismissive,Insulting,Hostile
"just a thought , but maybe stay the fuck away from the chinese .",High,Defiant,Aggressive and Offensive,Discriminatory
"the woman s a bitch , but the man s a psychopath .",High,Derogatory,Insulting and Offensive,Malicious
"Oh, that was my dumbass mistake.",Low,Casual,Informal,Regretful
"Next time, I will force you to eat your own shit.",High,Threatening,Aggressive and Vulgar,Malicious
today was one of the most fucked up days of my life .,High,Negative,Vulgar,Frustrated
"priceless, I hate that guy",Medium,Negative,Confrontational,Hostile
stupid for a ball coach to make ten times what a teacher makes .,Medium,Disparaging,Critical,Disdainful
"DIGIT year olds can be little shits too, doesn't mean you fight them.",Medium,Casual,Informal,Dismissive
i never uttered or wrote that crap .,Low,Defensive,Informal,Denial
my comment was more a diatribe about how there should be more outrage at home for this shit .,Low,Frustrated,Informative,Critical
"ps, congradulations on recieving the bitch star, you definatly deserve it ryan.",High,Sarcastic,Insulting and Demeaning,Malicious
that things that we use everyday aren't correct. wikipedia blows cock and so do you.,High,Aggressive,Vulgar and Offensive,Derogatory
"not just a biologist , a fucking virologist ! .",High,Aggressive,Profane,Derogatory
why do you guys do this shit out west ?,Medium,Inquisitive,Informal and Rude,Frustrated
"not the rich and the government , but the people will be in shit street .",Low,Negative,Informal,Critical
that stupid water pipe is just a fatal accident waiting to happen .,Medium,Negative,Derogatory,Critical
eli5 why should governments give a fuck ? .,Low,Casual,Informal,Inquisitive
"and go on saddam execution talk page, before you stink up the place.",Medium,Commanding,Aggressive,Contemptuous
"i go there for work every few months , and i can assure you it fucking sucks .",Medium,Negative,Casual and Vulgar,Frustration
these idiots are bound and determined to start a civil war !,Medium,Aggressive,Derogatory,Angry
"abortion is not a fundamental right it is a proceedure , nothing more idiot",High,Insulting,Derogatory,Hostile
his hypocrisy knowns no bounds .,Low,Critical,Strong,Negative
what a bunch of sick lies !,High,Aggressive,Insulting,Hostile
colin kaepernick is an idiot .,High,Insulting,Derogatory,Negative
You are a pompous fool.,High,Insulting,Derogatory,Negative
very few of these cophating clowns ever make cora requests for those case files .,Low,Neutral,Informal,Neutral
"Target You are now a valid target, you nasty little shit!",High,Aggressive,Insulting and Offensive,Hostile
i d love to live there if it weren t for the fucking california cost of living .,Medium,Frustrated,Informal,Negative
"if you still think you re not living in a police state , wake the fuck up .",High,Aggressive,Vulgar,Hostile
holy shit that article was filled with ads .,Medium,Informal,Cursing,Negative
"Stop defending neo-Nazis, you fuck",High,Aggressive,Vulgar and Offensive,Angry
my wife still gives me shit for it .,Low,Casual,Informal,Frustration
"so i would really like it if people could stop acting like that 's why he got shot , it fucking isn 't .",High,Angry,Vulgar and Aggressive,Frustration and Disbelief
"i 'm ready to actually do something to make this shit stop , but what can i do ?",Low,Frustrated,Informal,Determined
"HEY CRETIN, LOOK UP YOUR HISTORY!",High,Derogatory,Insulting and Aggressive,Hostile
That had more content and was going to be an article until you deleted it again dumbass.,High,Aggressive,Insulting and Condescending,Hostile
What the hell are you on about?,Low,Confused/Inquisitive,Informal,Questioning
the guy was fucking shot ! .,Medium,Explicit,Vulgar,Shocking
"strong fiscal management , my ass , steve o .",Medium,Sarcastic,Vulgar and Dismissive,Contemptuous
"no , i m pointing out that you are being a condescending ass about it , just like your euphoric brethren .",Medium,Condescending,Insulting and Contemptuous,Disdainful
"sure he should get punished , but three fucking years ? .",Medium,Indignant,Mildly Offensive,Angry
I'll Ignore you for now and your everyday idiotic anime likings and stop attacking you.,Medium,Dismissive,Critical,Contemptuous
selective censorship and non reporting of factual and correct statements he makes of other leaders idiotic decisions !,High,Accusatory,Aggressive,Anger
3 . you don 't fuck with a mommas boy,High,Aggressive,Inappropriate and Vulgar,Defensive
get this ldiot out of there .,Medium,Commanding,Insulting,Negative
"they should have fled , i feel that these guys are fucked , who turns themselves in to an angry mob ? .",Medium,Disapproving,Vulgar,Critical
"shit looked like a music video with synced audio , and footage editing .",Low,Casual,Informal,Positive
that s some pretty shit logic .,Medium,Dismissive,Informal,Negative
reducing early voting from number down to number days sure is shitting all over the citizens of the united states .,Medium,Angry,Harsh and Disrespectful,Aggressive
Delete my 200 articles Whhore,High,Aggressive,Insulting,Hostile
"WHAT A FAGGOT, I'M GLAD HE'S DEAD!!!",High,Hostile,Insulting,Hateful
lgbt whine and bitch all the way to the courts to have the twice declined decision overturned.,High,Derogatory,Abusive and Insensitive,Contemptuous
"throwing his ass in jail is the best thing possible , since it protects others from his willful drunk driving .",Low,Assertive,Firm,Protective
Queen Mary Mrs Windsor's granny was a bitch.,Medium,Derogatory,Vulgar,Contemptuous
this piece of human garbage should rot in jail .,High,Dehumanizing,Aggressive,Rage
"we shouldn t be shitting on his good name , and saying what he should , and shouldn t have done .",Medium,Assertive,Negative and Critical,Judgmental
they don t give a shit about terrorism .,High,Disrespectful,Vulgar and Offensive,Negative
top ten most relevant are you fucking sorry,High,Aggressive,Vulgar and Offensive,Angry
"See all the many Google links, titled 'Wikipedia sucks.'",Low,Neutral,Informative,Negative
"so again , unless you have something useful to say , fuck off .",High,Aggressive,Profane and Rude,Hostile
so they don't give a flying fuck about long term effects.,High,Disrespectful,Vulgar and dismissive,Negative
i 'm so fucking sick of reddit assuming people with a dissenting opinion are being paid by someone else .,High,Angry,Aggressive and Offensive,Resentful
minorities bitch and moan when the police uphold the law .,High,Derogatory,Dehumanizing,Discriminatory
You are an idiot and you can't block anyone.,High,Insulting,Derogatory,Condescending
holy shit why is this not higher up ? ? ?,Low,Surprised,Informal,Frustration
"careful , you just described the goonies , and that shit was classic .",Low,Casual,Informal,Positive
"gawd , you are one massively ignorant fellow .",High,Insulting,Rude and Condescending,Contemptuous
it 's just dumb fucking luck .,Medium,Casual,Vulgar,Negative
who the fuck is pushing diversity on you ? .,Medium,Aggressive,Profane,Defensive
Probably because NO ONE GIVES A FUCK ABOUT MISS UPTON.,High,Disrespectful,Vulgar and Confrontational,Hostile
the object is to waste peoples time deconstructing your foolish effusions .,Medium,Dismissive,Condescending,Critical
looks like the not fucking around crew is making decisions now .,Low,Casual,Informal,Assertive
"that said , i hope they get a great attorney and sue the shit out of the cops .",Medium,Assertive,Aggressive,Vengeful
Bullshit William Penn used the phrase too.,Low,Casual,Informal,Slight sarcasm
"fuck it , we 'll do it live .",High,Aggressive,Vulgar and Dismissive,Defiant
FUCK Why hasn't anyone included this information yet?,High,Aggressive,Profane,Frustration/Hostility
it tastes like shit and i 've never even seen it available outside of five - star restaurants .,Medium,Negative,Colloquial,Disgust
i have made the changes lets not let something this stupid happen again,Low,Assertive,Direct and Casual,Determined
who the hell do you feminists think you are anyway ?,High,Aggressive,Confrontational and Insulting,Hostile
. or the loud ass one - thousand ton beast roaring towards you howling its horn .,Medium,Aggressive,Vulgar and Threatening,Intimidating
its one of those you don t know what your saying so i m correcting you cunts .,High,Confrontational,Insulting and Aggressive,Hostile
likes to eat shit It's true and he told me himself!,High,Derogatory,Vulgar and Insulting,Malicious
this administrations shit stinks as bad as the last ! .,Medium,Critical,Vulgar and Disrespectful,Negative
There's a better answer to the question: the people that made the anime fucked up.,Medium,Blunt,Vulgar and Critical,Negative
"they have all the fucking money , how am i supposed to earn my billions ? .",High,Frustrated,Vulgar,Envious
that guy used to be a real dick .,Low,Casual,Informal,Negative
p. s. i do own all of those pictures bitch .,High,Defiant,Insulting and Aggressive,Contemptuous
"haha okay i m a sick fuck to find that entertaining , i ll see myself out .",High,Casual/Sarcastic,Vulgar and Offensive,Defiant/Provocative
"food is really fucking cheap , jail time because people robbed stores rather than starve to death is not .",Medium,Casual/Informal,Vulgar/Insensitive,Negative/Insensitive
only boneheads would buy into this stuff from the msm .,Medium,Dismissive,Insulting,Contemptuous
randy johnson is a troll .,Low,Neutral,Informative,Negative
this is a fuckingtzu tactic for shits sake .,High,Aggressive,Vulgar and Offensive,Angry
Kind of a stupid response given the name of the article.,Low,Critical,Informal,Skeptical
"daniel pantaleo , the worthless bag of shit who got away with murdering eric garner .",High,Angry,Insulting and derogatory,Hostile
Gogo Dodo is a rogue admin that has sex with his father,High,Accusatory,Inflammatory and Offensive,Malicious
he hasn t done shit for palestine .,Medium,Dismissive,Vulgar,Negative
"i thought world leader just picked random shit to do , thank you for informing us ! .",Low,Sarcastic,Casual,Sarcastic
Once again I'm SO glad that Wikipedia is not biased or filled with retarded children.,High,Derogatory,Offensive,Negative
but redditors are too busy sucking bernie s dick to care .,Medium,Dismissive,Vulgar,Negative
if you think a town in texas would cover this kind of shit up you 're insane .,Medium,Accusatory,Critical and Profane,Angry
fuck alcohol and anyone who drives while drinking the stuff .,High,Aggressive,Vulgar and Hostile,Angry
iran says that shit when its mail arrives late .,Low,Casual,Informal,Neutral
republicans and democrats are the right and left cheeks of the same ass.,Medium,Sarcastic,Derogatory,Critical
just the shit they get are worth hundreds of thousands if not millions of dollars .,Low,Informative,Casual,Neutral
fucking barbarian gooks got a lot of nerve to mess with us .,High,Aggressive,Derogatory and Racist,Angry
removed from reality in - fucking - deed,Medium,Dismissive,Vulgar,Defiant
to think that she 's been doing that kind of shit for yeaaaars,Medium,Disbelief,Informal,Disrespectful
"fuck me , even afghanistan has number .",High,Explicit,Vulgar and Offensive,Frustrated
so is torture why should they give a shit ? .,High,Defensive,Vulgar,Contemptuous
"good damn , that show kicks so much ass .",Low,Excited,Casual,Positive
anarchy is basically a philosophy for dumb teenagers and marxism is about dead .,High,Disparaging,Derogatory,Negative
Only a moron would think so.,High,Dismissive,Insulting,Contemptuous
hey man keep that shit to yourself .,Low,Casual,Informal,Direct
now that is just a fucking dumb thing to say .,Medium,Dismissive,Vulgar and Insulting,Contemptuous
Rubbish. I do not support your crappy encyclopedia and that's that.,Medium,Dismissive,Harsh and Disrespectful,Negative
gt thats really sad because what they really need to do is fuck off and mind their own business .,High,Aggressive,Vulgar and Offensive,Hostile
people making moronic jokes Have no right to edit.,Medium,Disapproving,Critical,Judgmental
"fuck them and all their pussy , shitty , fucking rules .",High,Aggressive,Vulgar and disrespectful,Hostile
harper needs to get the fuck out of office .,Medium,Hostile,Vulgar and Commanding,Negative
"3 , people will freak the fuck out .",Medium,Aggressive,Vulgar,Fear-inducing
hey look at this shit vandalism!,High,Aggressive,Vulgar and Offensive,Angry
that ignorant failure isnt qualified for any public office .,Medium,Disparaging,Critical,Negative
"call me stupid , but it seems the page was not moved so much as copied .",Low,Casual,Informal,Self-deprecating
"I am in awe of your template usage, true fucking hero you are, you twinkle-queen",Medium,Admiring,Informal and Sarcastic,Mocking
STOP REVERTING MY EDITS YOU CUNT,High,Aggressive,Insulting,Hostile
i couldn t even tell what the fuck it s saying .,High,Aggressive,Vulgar,Frustration
fucking cunt of a person .,High,Derogatory,Vulgar and Offensive,Contemptuous
I believe that you don't have a fucking clue what you're talking about. Fatuorum,High,Aggressive,Vulgar and Insulting,Hostile
"i cannot help thinking if they wanted my opinion on shit , they could just ask .",Medium,Defensive,Casual,Frustration
"how else could it have become , with bribery being legal and shit ? .",Medium,Cynical,Informal,Frustration
You're a moron that likes to throw the word logogram around.,High,Insulting,Derogatory and Condescending,Contemptuous
the guy was a sick fuck .,High,Vulgar,Offensive,Disgust
fuck ever doing that again .,High,Angry,Vulgar,Negative
"Oh, I don't think they are going to get any less stupid any time soon.",Low,Casual,Informal,Negative
"Stop Vandalizing Wikipedia, jerk!",High,Aggressive,Commanding and Insulting,Hostile
he is very arrogant unfortunately im hoping to stab him to death soon .,High,Violent,Aggressive,Hostile
another piece of useless manufactured junk !,Medium,Negative,Disparaging,Disdainful
ANI There are some whiners butt-hurt about comments you made.,Medium,Dismissive,Casual and Insulting,Contemptuous
dont cut off your nose to spite your face .,Low,Admonishing,Informal,Warning
"we 're not fucking worlds leaders in this bitch , all you 'll get is speculation .",Medium,Defiant,Vulgar and Rude,Frustrated
at least one party gives a crap about humans after birth .,Low,Neutral,Informal,Cynical
parliament is a lame duck .,Low,Neutral,Neutral,Neutral
"side - note , why the fuck does everything the us make have to be called joint .",High,Aggressive,Vulgar,Resentful
"You're not being helpful, either, tiny-dick.",High,Aggressive,Insulting and Demeaning,Hostile
Prove my comment wrong and post a video of how fucking tough you are.,High,Aggressive,Vulgar and Confrontational,Angry